Title:               Discount Rates, Federal Reserve Bank of New York for United States
Series ID:           M13009USM156NNBR
Source:              National Bureau of Economic Research
Release:             NBER Macrohistory Database (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1914-11-01 to 1969-07-01
Last Updated:        2012-08-20 8:16 AM CDT
Notes:               Data Are Computed By NBER By Taking Simple Averages Of Rates For
                     Commercial, Agricultural, And Livestock Paper, And Weighting Them By
                     The Number Of Days Each Rate Was In Force. Data Are For All Classes
                     And Maturities Of Discount Bills. Source: Federal Reserve Board, Data
                     For 1914-1922: "Discount Rates Of Federal Reserve Banks, 1914-1921",
                     1922. Data For 1922-1969: Annual Reports For 1931-1942; Federal
                     Reserve Bulletin, Successive Issues.
                     
                     This NBER data series m13009 appears on the NBER website in Chapter 13
                     at http://www.nber.org/databases/macrohistory/contents/chapter13.html.
                     
                     NBER Indicator: m13009

DATE       VALUE
1958-12-01  2.50
1959-01-01  2.50
1959-02-01  2.50
1959-03-01  2.92
1959-04-01  3.00
1959-05-01  3.05
1959-06-01  3.50
1959-07-01  3.50
1959-08-01  3.50
1959-09-01  3.83
1959-10-01  4.00
1959-11-01  4.00
1959-12-01  4.00
1960-01-01  4.00
1960-02-01  4.00
1960-03-01  4.00
1960-04-01  4.00
1960-05-01  4.00
1960-06-01  3.65
1960-07-01  3.50
1960-08-01  3.18
1960-09-01  3.00
1960-10-01  3.00
1960-11-01  3.00
1960-12-01  3.00
1961-01-01  3.00
1961-02-01  3.00
1961-03-01  3.00
1961-04-01  3.00
1961-05-01  3.00
1961-06-01  3.00
1961-07-01  3.00
1961-08-01  3.00
1961-09-01  3.00
1961-10-01  3.00
1961-11-01  3.00
1961-12-01  3.00
1962-01-01  3.00
1962-02-01  3.00
1962-03-01  3.00
1962-04-01  3.00
1962-05-01  3.00
1962-06-01  3.00
1962-07-01  3.00
1962-08-01  3.00
1962-09-01  3.00
1962-10-01  3.00
1962-11-01  3.00
1962-12-01  3.00
1963-01-01  3.00
1963-02-01  3.00
1963-03-01  3.00
1963-04-01  3.00
1963-05-01  3.00
1963-06-01  3.00
1963-07-01  3.24
1963-08-01  3.50
1963-09-01  3.50
1963-10-01  3.50
1963-11-01  3.50
1963-12-01  3.50
1964-01-01  3.50
1964-02-01  3.50
1964-03-01  3.50
1964-04-01  3.50
1964-05-01  3.50
1964-06-01  3.50
1964-07-01  3.50
1964-08-01  3.50
1964-09-01  3.50
1964-10-01  3.50
1964-11-01  3.62
1964-12-01  4.00
1965-01-01  4.00
1965-02-01  4.00
1965-03-01  4.00
1965-04-01  4.00
1965-05-01  4.00
1965-06-01  4.00
1965-07-01  4.00
1965-08-01  4.00
1965-09-01  4.00
1965-10-01  4.00
1965-11-01  4.00
1965-12-01  4.42
1966-01-01  4.50
1966-02-01  4.50
1966-03-01  4.50
1966-04-01  4.50
1966-05-01  4.50
1966-06-01  4.50
1966-07-01  4.50
1966-08-01  4.50
1966-09-01  4.50
1966-10-01  4.50
1966-11-01  4.50
1966-12-01  4.50
1967-01-01  4.50
1967-02-01  4.50
1967-03-01  4.50
1967-04-01  4.10
1967-05-01  4.00
1967-06-01  4.00
1967-07-01  4.00
1967-08-01  4.00
1967-09-01  4.00
1967-10-01  4.00
1967-11-01  4.18
1967-12-01  4.50
1968-01-01  4.50
1968-02-01  4.50
1968-03-01  4.66
1968-04-01  5.20
1968-05-01  5.50
1968-06-01  5.50
1968-07-01  5.50
1968-08-01  5.48
1968-09-01  5.25
1968-10-01  5.25
1968-11-01  5.25
1968-12-01  5.36
1969-01-01  5.50
1969-02-01  5.50
1969-03-01  5.50
1969-04-01  5.95
1969-05-01  6.00
1969-06-01  6.00
1969-07-01  6.00
